,rank,title,points,counries,days,isoriginal,rating,duration,new_rank
0,2,We Can Be Heroes,"25,311",82,214,YES,Older Kids,101 min,A
1,3,Army of the Dead,"18,888",89,92,YES,Adults,148 min,A
2,4,Wish Dragon,"16,953",82,88,YES,Older Kids,102 min,A
3,6,The Mitchells vs. The Machines,"14,902",82,74,YES,Older Kids,114 min,A
4,7,Fatherhood,"14,660",82,54,YES,Teens,111 min,A
5,12,Outside the Wire,"11,661",82,45,YES,Adults,116 min,A
6,14,Kate,"11,224",83,50,YES,Adults,106 min,A
7,15,Vivo,"11,037",79,58,YES,Older Kids,100 min,A
8,18,He's All That,"10,222",83,35,YES,Teens,92 min,A
9,19,Sweet Girl,"10,051",82,32,YES,Adults,110 min,A
10,20,Blood Red Sky,"9,757",82,31,YES,Adults,123 min,A
11,21,Major Grom: Plague Doctor,"9,642",80,98,No,Adults,138 min,A
12,22,My Little Pony: A New Generation,"9,615",81,41,YES,Older Kids,91 min,A
13,24,The Kissing Booth 3,"9,219",82,28,YES,Teens,114 min,A
14,27,Thunder Force,"8,842",82,35,YES,Teens,107 min,A
15,28,I Care a Lot,"8,610",54,41,YES,Adults,118 min,A
16,29,The Woman in the Window,"8,547",82,33,YES,Adults,102 min,A
17,30,365 Days,"8,488",60,313,No,Adults,114 min,A
18,32,Afterlife of the Party,"8,172",80,27,YES,Older Kids,110 min,A
19,33,The Secret Life of Pets 2,"8,161",54,322,No,Older Kids,86 min,A
20,34,The Last Mercenary,"8,132",82,26,YES,Adults,112 min,A
21,39,Resort to Love,"7,711",79,33,YES,Teens,102 min,B
22,42,Things Heard & Seen,"7,396",82,29,YES,Adults,121 min,B
23,44,Awake,"7,217",81,24,YES,Adults,97 min,B
24,46,Deadly Illusions,"6,900",82,18,No,Adults,115 min,B
25,47,Below Zero,"6,828",82,31,YES,Adults,107 min,B
26,48,The White Tiger,"6,755",80,73,YES,Adults,127 min,B
27,53,Sentinelle,"6,230",83,21,YES,Adults,81 min,B
28,54,Hotel Transylvania 3: Summer Vacation,"6,219",51,188,No,Older Kids,97 min,B
29,55,The Dig,"6,172",82,25,YES,Teens,113 min,B
30,56,Moxie,"6,062",81,24,YES,Teens,112 min,B
31,57,Intrusion,"6,045",83,17,YES,Teens,94 min,B
32,60,Pieces of a Woman,"5,908",79,21,YES,Adults,128 min,B
33,62,Space Sweepers,"5,662",81,64,YES,Adults,138 min,B
34,63,Paper Lives,"5,647",62,44,YES,Adults,97 min,B
35,65,Secret Magic Control Agency,"5,607",77,32,YES,Older Kids,105 min,B
36,66,Xtreme,"5,488",82,27,YES,Adults,112 min,B
37,69,Beckett,"5,363",82,18,YES,Adults,110 min,B
38,73,The Loud House Movie,"5,299",75,40,YES,Older Kids,88 min,C
39,77,Schumacher,"5,041",67,23,YES,Teens,113 min,C
40,79,Stowaway,"4,955",61,22,YES,Adults,116 min,C
41,80,Seaspiracy,"4,916",49,44,YES,Teens,90 min,C
42,81,Death to 2020,"4,824",74,27,YES,Adults,71 min,C
43,83,Kingdom: Ashin of the North,"4,765",80,88,YES,Adults,94 min,C
44,84,Aftermath,"4,764",79,18,No,Adults,115 min,C
45,85,Blue Miracle,"4,724",81,20,YES,Older Kids,97 min,C
46,88,Good on Paper,"4,532",75,16,YES,Adults,94 min,C
47,89,Trollhunters: Rise of the Titans,"4,442",80,17,YES,Older Kids,106 min,C
48,92,Squared Love,"4,366",82,19,YES,Teens,102 min,C
49,95,The Croods,"4,247",78,52,No,Older Kids,99 min,C
50,97,I Am All Girls,"4,089",79,19,YES,Adults,107 min,C
51,98,Bad Trip,"4,047",81,14,YES,Adults,87 min,C
52,99,Double Dad,"4,027",72,17,YES,Kids,105 min,C
53,102,Run,"3,898",31,56,YES,Teens,134 min,C
54,103,Nightbooks,"3,871",83,16,YES,Older Kids,103 min,C
55,104,Crazy About Her,"3,855",66,32,YES,Adults,107 min,C
56,105,The Starling,"3,848",76,21,YES,Teens,104 min,C
57,106,Home,"3,793",61,90,No,Older Kids,94 min,C
58,108,Skater Girl,"3,739",79,21,YES,Older Kids,110 min,D
59,110,Prey,"3,718",83,12,YES,Adults,87 min,D
60,112,The Water Man,"3,644",73,26,YES,Older Kids,92 min,D
61,114,Rurouni Kenshin: The Final,"3,576",60,38,YES,Teens,137 min,D
62,115,The Stronghold,"3,556",72,14,YES,Adults,105 min,D
63,118,Oxygen,"3,414",82,24,YES,Teens,102 min,D
64,120,The Father Who Moves Mountains,"3,365",79,13,YES,Adults,110 min,D
65,121,How I Became a Superhero,"3,323",81,21,YES,Adults,101 min,D
66,122,Rurouni Kenshin: The Beginning,"3,308",78,18,YES,Adults,138 min,D
67,124,The Midnight Sky,"3,282",81,20,YES,Teens,119 min,D
68,125,Security,"3,276",75,16,YES,Adults,119 min,D
69,126,Red Dot,"3,244",79,15,YES,Adults,86 min,D
70,128,The Girl on the Train,"3,098",68,35,YES,Adults,120 min,D
71,130,The Witcher: Nightmare of the Wolf,"3,024",73,34,YES,Adults,84 min,D
72,134,Into the Beat,"2,851",69,15,No,Teens,102 min,D
73,142,Seventh Son,"2,601",39,14,No,Teens,102 min,D
74,145,Sightless,"2,485",62,13,No,Teens,89 min,E
75,146,The Swarm,"2,482",73,10,YES,Teens,102 min,E
76,149,Monster,"2,453",65,10,No,Adults,99 min,E
77,153,A Week Away,"2,314",76,13,YES,Older Kids,98 min,E
78,158,Madame Claude,"2,179",60,25,YES,Adults,113 min,E
79,159,The Yin Yang Master,"2,161",51,27,No,Teens,120 min,E
80,160,The Adventures of Sharkboy and Lavagirl,"2,075",25,75,No,Older Kids,93 min,E
81,163,Angel Has Fallen,"2,024",17,65,No,Adults,121 min,E
82,164,Twilight,"1,987",27,72,No,Teens,122 min,E
83,167,Room,"1,922",22,20,No,Adults,118 min,E
84,169,2012,"1,886",31,51,No,Teens,158 min,E
85,170,Wanted,"1,878",32,20,No,Teens,90 min,E
86,171,Just Say Yes,"1,878",43,16,YES,Adults,98 min,E
87,174,Ava,186,4,29,No,Adults,97 min,E
88,175,Bombshell,181,2,14,No,Adults,86 min,E
